[Worker1] 栃木〜新潟: 230社
[W1][41/230] ㈲小副川工務店 → 未発見
[W1][42/230] ㈱田中工務店 → https://tanaka-koumuten.jp
[W1][43/230] ㈱富孝工務店 → 未発見
[W1][44/230] ㈲ホンマ建設 → 未発見
[W1][45/230] ㈱山本工務店 → 未発見
[W1][46/230] アイディホーム㈱ → https://idhome.co.jp
[W1][47/230] ㈱ホーク・ワン → https://www.hosoda.co.jp
[W1][48/230] ㈱ＬＩＸＩＬ住宅研究所 → https://www.lixil-jk.co.jp
[W1][49/230] ㈱メルディア → https://www.hosoda.co.jp
[W1][50/230] ㈱ユニバーサルホーム → https://www.hosoda.co.jp
[W1][51/230] イトーピアホーム㈱ → https://www.takenaka.co.jp
[W1][52/230] アグレ都市デザイン㈱ → https://agr-urban.co.jp
[W1][53/230] ㈱細田工務店 → 未発見
[W1][54/230] 誠賀建設㈱ → https://www.seiga-k.co.jp
[W1][55/230] ㈱木下工務店 → 未発見
[W1][56/230] ㈱巨摩建設 → 未発見
[W1][57/230] ケイアイスターデベロップメント → 未発見
[W1][58/230] ㈱東横建設 → 未発見
[W1][59/230] ㈱小嶋工務店 → 未発見
[W1][60/230] ㈱創建 → 未発見
  [W1] 保存: 60社完了 (取得:41)
[W1][61/230] ㈱石田工務店 → 未発見
[W1][62/230] ㈲シムラ → 未発見
[W1][63/230] ㈱小野建設 → 未発見
[W1][64/230] ㈱栄伸建設 → 未発見
[W1][65/230] ㈱青木工務店 → 未発見
[W1][66/230] ㈱蓮川工務店 → 未発見
[W1][67/230] ㈱樋口建設 → 未発見
[W1][68/230] ㈱小林建設 → 未発見
[W1][69/230] ㈲染矢建設 → 未発見
[W1][70/230] ダイヤモンド地所㈱ → 未発見
[W1][71/230] ㈲ナベ建設 → 未発見
[W1][72/230] ㈱ナミキ → 未発見
[W1][73/230] ㈱バンブーフィールド → 未発見
[W1][74/230] ㈱プライムホーム → https://www.hosoda.co.jp
[W1][75/230] マツミハウジング㈱ → https://www.hosoda.co.jp
[W1][76/230] ㈱モアコーポレーション → http://more-sdc.co.jp
[W1][77/230] ㈱エヌエスハウジング → https://www.hosoda.co.jp
[W1][78/230] ㈱クリスタルハウス → https://asmo-e.co.jp
[W1][79/230] ㈱スマイルエコ → https://www.hosoda.co.jp
[W1][80/230] 第一住宅（協組） → https://www.hosoda.co.jp
[W1][81/230] 平住建㈱ → https://www.hosoda.co.jp
[W1][82/230] ㈱トライアングル → https://www.kondo-koumuten.co.jp
[W1][83/230] ㈱和工務店 → 未発見
[W1][84/230] ㈱佐藤秀 → 未発見
[W1][85/230] ㈱山菱工務店 → 未発見
[W1][86/230] ㈱松和建設 → 未発見
[W1][87/230] ㈱中島工務店 → 未発見
[W1][88/230] 大創建設㈱ → https://www.daiso1966.jp
[W1][89/230] ㈱千鶴建設 → https://www.chizuru-k.co.jp
[W1][90/230] ㈱中央拓産 → http://www.tacsun.co.jp
  [W1] 保存: 90社完了 (取得:53)
[W1][91/230] ㈱藤栄建設 → http://www.touei-fujita.co.jp
[W1][92/230] 白馬建設㈱ → https://www.hakart.jp
[W1][93/230] パラダイスリゾート㈱ → https://www.paradiseresort.co.jp
[W1][94/230] ㈱フクシマ建設 → https://www.century21.jp/store/052302-
[W1][95/230] ㈱武陽プランニング → https://www.takenaka.co.jp
[W1][96/230] ベラテック販売㈱ → https://www.velatec.co.jp
[W1][97/230] 星野建設㈱ → http://www.hoshino-kensetsu.co.jp
[W1][98/230] ㈱リアルランド → http://www.real-land.co.jp/company.html
[W1][99/230] ㈱再生住宅パートナー → https://www.sj-partner.co.jp
[W1][100/230] ㈱山下工務店 → 未発見
[W1][101/230] ㈲井上建築 → 未発見
[W1][102/230] ㈱伊庭工務店 → 未発見
[W1][103/230] ㈱岡村工務店 → 未発見
[W1][104/230] ㈱大慈興業 → 未発見
[W1][105/230] ㈱中島松男工務店 → 未発見
[W1][106/230] ㈱小野寺工務店 → 未発見
[W1][107/230] ㈱来住野工務店 → 未発見
[W1][108/230] ㈱小山工務店 → 未発見
[W1][109/230] ㈲昆工務店 → https://www.takenaka.co.jp/majorworks/20507141988.html#:~:text=%E6%9D%B1%E4%BA%AC%E3%83%89%E3%83%BC%E3%83%A0%20%7C%20%E7%AB%B9%E4%B8%AD%E5%B7%A5%E5%8B%99%E5%BA%97
[W1][110/230] ㈱大悟建設 → 未発見
[W1][111/230] ㈱辻村工務店 → 未発見
[W1][112/230] ㈱ＨＯＵＳＥ　ＢＵＩＬＤ → https://housebuild.co.jp
[W1][113/230] ㈱長谷萬 → https://www.hosoda.co.jp
[W1][114/230] ㈱平塚住宅 → https://www.hiratsuka-jutaku.co.jp
[W1][115/230] ㈱ビラハウジング → http://www.villahousing.co.jp
[W1][116/230] ㈱ＦＯＲＭ　ＧＩＶＩＮＧ → https://www.hosoda.co.jp
[W1][117/230] 福屋木材㈱ → https://www.takenaka.co.jp
[W1][118/230] ㈱ブリリアント → https://www.yabusaki.co.jp
[W1][119/230] ㈱丸貴建設 → https://www.marutaka-k.net
[W1][120/230] ㈱丸本住宅 → https://www.takenaka.co.jp
  [W1] 保存: 120社完了 (取得:72)
[W1][121/230] ㈱三浦工務店 → 未発見
[W1][122/230] ㈱未来企画 → https://partnershop.takara-standard.co.jp/shop/4028
[W1][123/230] ㈱武蔵工務店 → 未発見
[W1][124/230] ㈱守重建設 → 未発見
[W1][125/230] トラスト建設㈱ → https://www.shonan-koumuten.co.jp
[W1][126/230] ㈱ワカバヤシ → http://watanabe-koumuten.jp
[W1][127/230] ㈱八清建設 → http://www.kk-hassei.co.jp
[W1][128/230] ㈱ラ・ヴィータホームズ → http://watanabe-koumuten.jp
[W1][129/230] ㈱エヌ･ジー･エス → https://www.shonan-koumuten.co.jp
[W1][130/230] ハウスランド㈱ → http://www.houseland.co.jp
[W1][131/230] 横浜エコハウス㈱ → https://yamato-aoki.co.jp
[W1][132/230] 柏倉建設㈱ → http://watanabe-koumuten.jp
[W1][133/230] ㈱ｅｃｏｍｏ → 未発見
[W1][134/230] 工藤建設㈱ → 未発見
[W1][135/230] ㈱太田不動産 → 未発見
[W1][136/230] ㈱マルナカ → 未発見
[W1][137/230] ㈱ハウゼ → 未発見
[W1][138/230] 平沼土地管理㈱ → 未発見
[W1][139/230] ㈱ベルハウス → 未発見
[W1][140/230] ㈱成建アオバ → 未発見
[W1][141/230] ㈱ホンダハウス → 未発見
[W1][142/230] ㈱フレール → 未発見
[W1][143/230] ㈱中谷工務店 → 未発見
[W1][144/230] ㈱日本物産 → 未発見
[W1][145/230] ㈱アイワコーポレーション → https://rabbynet.zennichi.or.jp/agency/00075349
[W1][146/230] ㈱クリエイティブホーム → https://creative-hm.co.jp
[W1][147/230] ㈱ケーナイン → https://rebuild.hapisumu.jp/h-company/98800
[W1][148/230] ㈱サカエ建設 → https://www.sakaekensetu.co.jp
[W1][149/230] ㈱安楽工務店 → 未発見
[W1][150/230] ㈱アイ建設 → 未発見
  [W1] 保存: 150社完了 (取得:85)
[W1][151/230] ㈱中川工務店 → 未発見
[W1][152/230] ㈱コラム建設 → 未発見
[W1][153/230] 創和建設㈱ → https://www.shonan-koumuten.co.jp
[W1][154/230] ㈱高井工務店 → 未発見
[W1][155/230] ㈱東洋クラスト → http://kurast.jp
[W1][156/230] ㈱藤岡ビル → http://www.fujibld.co.jp
[W1][157/230] ㈱富士開発 → https://fujikaihatsu.co.jp/company/company.html
[W1][158/230] ㈱平成 → https://www.heisei-shonan.co.jp
[W1][159/230] 松尾建設㈱ → https://www.matsuo-komuten.co.jp
[W1][160/230] 矢島建設工業㈱ → https://izawakoumuten.sakura.ne.jp
[W1][161/230] ㈱優企建設 → https://yuuki-cat.co.jp
[W1][162/230] アートテラスホーム㈱ → https://www.shonan-koumuten.co.jp
[W1][163/230] ㈱アイ．創建 → https://yamato-aoki.co.jp
[W1][164/230] ㈲イーグルハウス → https://www.mdc-inc.jp
[W1][165/230] ㈲成也住建 → 未発見
[W1][166/230] ㈱創建建設 → 未発見
[W1][167/230] ㈱のぞみ建設 → 未発見
[W1][168/230] 金子建設㈱ → 未発見
[W1][169/230] ㈲神崎 → 未発見
[W1][170/230] ㈲キャプス → https://system.jio-kensa.co.jp/scripts/wound/search/index.asp
[W1][171/230] 共同建工㈱ → https://www.kyodo-g.jp
[W1][172/230] さくらが丘建築設計㈱ → https://www.sakurauchi.co.jp
[W1][173/230] ㈱湘南Ｓｉｍｓホーム → https://www.simshome.jp
[W1][174/230] ㈱ＤＡＩＳＨＩＮ　ＨＯＵＳＥ　 → https://www.shonan-koumuten.co.jp
[W1][175/230] ㈱田辺工務店 → https://www.tanabe-koumuten.co.jp
[W1][176/230] ㈲トータルハウジング久野 → https://www.shonan-koumuten.co.jp
[W1][177/230] 共笑ホーム㈱ → http://watanabe-koumuten.jp
[W1][178/230] ㈱Ｔｒｉｐｌｅ－ｗｉｎ → https://www.shonan-koumuten.co.jp
[W1][179/230] ㈲ネスト → https://nestec.jp
[W1][180/230] マドリヤアーキテクツ（同） → 未発見
  [W1] 保存: 180社完了 (取得:106)
[W1][181/230] ㈲ベスト・プランニング → 未発見
[W1][182/230] ㈱加藤工務店 → 未発見
[W1][183/230] ㈱ディースタイル → https://d-style.co.jp
[W1][184/230] ㈱トラストハウス → http://www.trusthouse.co.jp/company
[W1][185/230] ㈱西島工務店 → https://nishijima-kou.jp
[W1][186/230] ㈱根建 → https://www.shonan-koumuten.co.jp
[W1][187/230] ㈲伯友開発 → https://x-house.co.jp/column/usefulinfo/xross-2008
[W1][188/230] ㈲畑中工務店 → https://rabbynet.zennichi.or.jp/agency/00002557
[W1][189/230] 富士城ホーム㈱ → http://www.fujisirohome.co.jp
[W1][190/230] ㈱ＰＲＩＭＡ　ＣＯＭＭＵＮＩＴ → https://www.prima-august.com/company
[W1][191/230] ㈱三嘉 → https://www.okuyama-co.co.jp
[W1][192/230] ㈲ヨコスカ信建 → https://www.matsuo-komuten.co.jp
[W1][193/230] ㈱イシカワ → https://www.morokou.co.jp
[W1][194/230] ハーバーハウス㈱ → https://www.nagakita.co.jp
[W1][195/230] ㈱アップデート → https://hoshinohome.co.jp
[W1][196/230] ㈲一代工務店 → 未発見
[W1][197/230] ㈱究工務店 → 未発見
[W1][198/230] 一級建築士事務所さかとも → 未発見
[W1][199/230] ㈱Ａｇ－工務店 → 未発見
[W1][200/230] ㈱ＫＡＮＡＩ → https://www.nagakita.co.jp
[W1][201/230] ㈱カヤノ → https://www.nagakita.co.jp
[W1][202/230] ㈱空間クリエイティブ → https://hoshinohome.co.jp
[W1][203/230] 小出建設㈱ → https://www.nagakita.co.jp
[W1][204/230] 向陽ホーム㈱ → 未発見
[W1][205/230] ㈱スターホーム → 未発見
[W1][206/230] ㈱大栄 → 未発見
[W1][207/230] ㈱匠・小山住建 → 未発見
[W1][208/230] ㈱長北工務店 → 未発見
[W1][209/230] 西脇建設㈱ → 未発見
[W1][210/230] ㈱能建 → 未発見
  [W1] 保存: 210社完了 (取得:123)
[W1][211/230] ㈱諸橋工務店 → 未発見
[W1][212/230] ㈱桐生建設 → 未発見
[W1][213/230] ㈱Ｒｅｖｅ　Ｂｏｉｓ　Ｍｉｃｈ → 未発見
[W1][214/230] 石田工務店 → 未発見
[W1][215/230] ㈱風間建築事務所 → 未発見
[W1][216/230] ㈲桐生工務店 → 未発見
[W1][217/230] ㈱二村建築 → https://www.nimurakentiku.co.jp
[W1][218/230] ㈱野本建設 → 未発見
[W1][219/230] ㈱ハウジングワーク本田 → https://www.nagakita.co.jp
[W1][220/230] ㈱ハウスヴィレッジ → https://www.nagakita.co.jp
[W1][221/230] ㈲フォルトーナ → 未発見
[W1][222/230] ㈱別所材木店 → https://www.ichidai-k.co.jp
[W1][223/230] ㈱保坂組 → https://hosaka-gumi.co.jp/about
[W1][224/230] ㈱本間工務店 → 未発見
[W1][225/230] ㈱本間材木店 → https://www.ichidai-k.co.jp
[W1][226/230] ㈱松尾工務店 → https://matsuokoumuten.com
[W1][227/230] ㈱丸川屋工務店 → http://www.marukawaya.co.jp
[W1][228/230] ㈱丸山工務所 → https://www.nagakita.co.jp
[W1][229/230] ㈱三井工務店 → 未発見
[W1][230/230] ㈲ユーホーム → 未発見
[Worker1] 完了: 132/230社取得 → staging_worker1.csv
