順位,企業ID,都道府県コード,棟数区分コード,都道府県,社名,フリガナ,代表者役職,代表者,設立,資本金,従業員,〒,所在地,電話,決算1（年）,決算1（月）,決算2（年）,決算2（月）,決算3（年）,決算3（月）,売上高1,売上高2,売上高3,※粗利,※固定費,純利益1,純利益2,純利益3,利益率1,利益率2,利益率3,完工棟数1,完工棟数2,完工棟数3,注文,建売,アパート,下請,成長率,棟数/人,売上/人,単価/棟
5,31-003916,17,w6,鳥取,㈱三宅工務店,ミヤケコウムテン,代表取締役社長,三宅　広美,昭和63年1月,10,8,6800914,鳥取市南安長１－３－９,0857－24－6027,3,12,4,12,5,12,726,675,544,136,155,10,,-19,1.38,,-3.42,25,25,35,30,,5,,140.0%,4.38,68,"15,543"
22,31-006821,17,w7,鳥取,㈱ヌック,ヌツク,代表取締役社長,高濱　陽一,平成23年6月,3,11,6890105,鳥取市福部町湯山４２２,0857－74－3900,,,4,7,5,7,,435,509,127,125,,1,2,,0.31,0.38,,10,10,,,,,100.0%,0.91,46,"50,900"
31,31-003588,17,w7,鳥取,㈱ホームズ,ホームズ,代表取締役社長,牧井　健一,昭和60年2月,10,6,6820025,倉吉市八屋１４０－１,0858－26－8255,,,5,3,6,3,,625,503,126,114,,26,12,,4.20,2.38,,10,5,,,,,50.0%,0.83,84,
28,31-005374,17,w7,鳥取,㈲砂原建築企画,スナハラケンチクキカク,代表取締役社長,砂原　弘明,昭和62年8月,3,17,6893537,米子市古豊千５８－１３,0859－27－4040,,,5,5,6,5,,599,500,125,,,,,,,,,10,5,,,,,50.0%,0.29,29,
11,31-007289,17,w7,鳥取,㈱彩家,イロドリヤ,代表取締役社長,橋本　章弘,平成31年1月,5,8,6820803,倉吉市見日町７０９,0858－27－1675,,,5,3,6,3,,424,435,109,98,,11,11,,2.60,2.53,,15,15,,,,,100.0%,1.88,54,"29,000"
41,31-004197,17,w7,鳥取,㈱タニシ,タニシ,代表取締役社長,安達　公之,平成1年9月,20,5,6830101,米子市大篠津町６８８－１０,0859－28－5501,,,4,8,5,8,,364,415,104,101,,7,3,,2.03,0.64,,5,5,,,,,100.0%,1.00,83,
34,31-001388,17,w7,鳥取,㈱岩崎組,イワサキグミ,代表取締役社長,瀨川　浩一,昭和47年4月,28,21,6830835,米子市灘町３－１４７－６,0859－33－1954,,,4,8,5,8,,622,401,100,197,,6,-97,,0.95,-24.10,,5,5,,,,,100.0%,0.24,19,
30,31-006955,17,w7,鳥取,㈱プラスホーム,プラスホーム,代表取締役社長,上手　道彦,平成19年1月,3,3,6800042,鳥取市庖丁人町３０－２,0857－30－1522,,,4,12,5,12,,286,381,95,82,,29,13,,10.01,3.40,,10,5,,,,,50.0%,1.67,127,
21,31-006280,17,w7,鳥取,㈱タウン建設,タウンケンセツ,代表取締役社長,出井　拓也,平成23年2月,5,9,6890103,鳥取市福部町高江５６－６,0857－75－2255,,,5,1,6,1,,405,364,91,82,,2,9,,0.55,2.40,,10,10,,,,,100.0%,1.11,40,"36,400"
19,31-006421,17,w7,鳥取,㈱建販,ケンパン,代表取締役社長,山内　智晃,平成17年7月,12,4,6800874,鳥取市叶４２８－２,0857－38－4910,,,4,12,5,12,,340,340,85,,,,,,,,,10,10,,,,,100.0%,2.50,85,"34,000"
43,31-005074,17,w7,鳥取,㈲藤原建築工務店,フジハラケンチクコウムテン,代表取締役社長,藤原　聡,平成7年2月,10,15,6894242,西伯郡伯耆町古市８５６－１,0859－62－0954,,,4,9,5,9,,387,292,73,,,,,,,,,5,5,,,,,100.0%,0.33,19,"58,400"
38,31-006515,17,w7,鳥取,㈲秀建,シユウケン,代表取締役社長,高木　秀員,平成18年3月,10,6,6800904,鳥取市晩稲５３４,0857－30－0810,,,4,12,5,12,,290,275,69,68,,0,1,,0.13,0.22,,5,5,,,,,100.0%,0.83,46,"55,000"
40,31-003667,17,w7,鳥取,㈲大功,ダイコウ,代表取締役社長,村中　俊介,昭和49年10月,10,,6800814,鳥取市南町１０１－１,0857－26－2636,,,4,12,5,12,,207,259,65,,,,,,,,,5,5,,,,,100.0%,,,"51,800"
33,31-001946,17,w7,鳥取,㈱荒井工務店,アライコウムテン,代表取締役,荒井　吾一,昭和50年4月,5,,6820812,倉吉市下田中町８８２,0858－22－7744,,,4,12,5,12,,273,235,59,,,,,,,,,5,5,,,,,100.0%,,,"47,000"
27,31-003727,17,w7,鳥取,㈲尚建工務店,シヨウケンコウムテン,代表取締役社長,谷口　亘繁,昭和61年9月,3,5,6893553,西伯郡日吉津村日吉津３０－５,0859－27－4093,,,4,8,5,8,,260,232,58,54,,10,4,,4.01,1.87,,10,5,,,,,50.0%,1.00,46,"46,400"
32,31-006499,17,w7,鳥取,㈱アース,アース,代表取締役社長,平岩　弓佳,平成18年9月,4,4,6820723,東伯郡湯梨浜町久留２０－１０,0858－35－5080,,,4,8,5,8,,266,215,54,78,,2,-24,,0.82,-11.17,,5,5,,,,,100.0%,1.25,54,"43,000"
36,31-006597,17,w7,鳥取,㈱北村木材ハウス,キタムラモクザイハウス,代表取締役,北村　明彦　,昭和50年10月,3,,6800805,鳥取市相生町１－６０７,0857－30－3377,,,4,9,5,9,,206,202,51,41,,,10,,,4.95,,5,5,,,,,100.0%,,,"40,400"
35,31-005987,17,w7,鳥取,㈱河本建築工業,カワモトケンチクコウギヨウ,代表取締役,河本　尚志,昭和53年7月,3,5,6820722,東伯郡湯梨浜町はわい長瀬７６３－９,0858－35－3900,,,5,6,6,6,,122,150,38,,,-4,,,-3.24,,,5,5,,,,,100.0%,1.00,30,"30,000"
39,31-003429,17,w7,鳥取,シンセイホーム㈱,シンセイホーム,代表取締役社長,森　大輔　,昭和54年9月,10,4,6800942,鳥取市湖山町東５－１１４,0857－38－8988,,,5,1,6,1,,283,127,32,44,,-14,-12,,-4.87,-9.77,,5,5,,,,,100.0%,1.25,32,"25,400"
44,31-006652,17,w7,鳥取,㈱リアライズ,リアライズ,,勢木　直志,平成21年1月,8,6,6800947,鳥取市湖山町西２－３９２,0857－38－8660,,,4,12,5,12,,186,115,29,22,,6,7,,3.01,5.90,,5,5,,,,,100.0%,0.83,19,"23,000"
46,31-001423,17,w7,鳥取,㈱ながお,ナガオ,代表取締役社長,長尾　裕昭,昭和42年7月,30,11,6890405,鳥取市鹿野町鹿野２３３８－１２,0857－84－2252,,,4,12,5,12,,191,78,20,,,5,,,2.64,,,0,5,,,,,,0.45,7,"15,600"
